Play,Act,Scene,Character,Line Count,Text
The Tragedy of Macbeth,1,3,MACBETH,5,Your children shall be kings.
The Tragedy of Macbeth,1,3,BANQUO,4,You shall be king.
The Tragedy of Macbeth,1,3,MACBETH,9,And thane of Cawdor too: went it not so?
The Tragedy of Macbeth,1,3,BANQUO,8,To the selfsame tune and words. Who's here?
The Tragedy of Macbeth,1,3,ROSS,92,"The king hath happily received, Macbeth, The news of thy success; and when he reads Thy personal venture in the rebels' fight, His wonders and his praises do contend Which should be thine or his: silenced with that, In viewing o'er the rest o' the selfsame day, He finds thee in the stout Norweyan ranks, Nothing afeard of what thyself didst make, Strange images of death. As thick as hail Came post with post; and every one did bear Thy praises in his kingdom's great defence, And pour'd them down before him."
The Tragedy of Macbeth,1,3,ANGUS,21,"We are sent To give thee from our royal master thanks; Only to herald thee into his sight, Not pay thee."
The Tragedy of Macbeth,1,3,ROSS,29,"And, for an earnest of a greater honour, He bade me, from him, call thee thane of Cawdor: In which addition, hail, most worthy thane! For it is thine."
The Tragedy of Macbeth,1,3,BANQUO,6,"What, can the devil speak true?"
The Tragedy of Macbeth,1,3,MACBETH,13,The thane of Cawdor lives: why do you dress me In borrow'd robes?
The Tragedy of Macbeth,1,3,ANGUS,58,"Who was the thane lives yet; But under heavy judgment bears that life Which he deserves to lose. Whether he was combined With those of Norway, or did line the rebel With hidden help and vantage, or that with both He labour'd in his country's wreck, I know not; But treasons capital, confess'd and proved, Have overthrown him."
The Tragedy of Macbeth,1,3,MACBETH,32,"The greatest is behind. Thanks for your pains. Do you not hope your children shall be kings, When those that gave the thane of Cawdor to me Promised no less to them?"
The Tragedy of Macbeth,1,3,BANQUO,49,"That trusted home Might yet enkindle you unto the crown, Besides the thane of Cawdor. But 'tis strange: And oftentimes, to win us to our harm, The instruments of darkness tell us truths, Win us with honest trifles, to betray's In deepest consequence. Cousins, a word, I pray you."
The Tragedy of Macbeth,1,3,MACBETH,104,"As happy prologues to the swelling act Of the imperial theme.--I thank you, gentlemen. Cannot be ill, cannot be good: if ill, Why hath it given me earnest of success, Commencing in a truth? I am thane of Cawdor: If good, why do I yield to that suggestion Whose horrid image doth unfix my hair And make my seated heart knock at my ribs, Against the use of nature? Present fears Are less than horrible imaginings: My thought, whose murder yet is but fantastical, Shakes so my single state of man that function Is smother'd in surmise, and nothing is But what is not."
The Tragedy of Macbeth,1,3,BANQUO,5,"Look, how our partner's rapt."
The Tragedy of Macbeth,1,3,MACBETH,3,Without my stir.
The Tragedy of Macbeth,1,3,BANQUO,20,"New horrors come upon him, Like our strange garments, cleave not to their mould But with the aid of use."
The Tragedy of Macbeth,1,3,MACBETH,9,Time and the hour runs through the roughest day.
The Tragedy of Macbeth,1,3,BANQUO,7,"Worthy Macbeth, we stay upon your leisure."
The Tragedy of Macbeth,1,3,MACBETH,56,"Give me your favour: my dull brain was wrought With things forgotten. Kind gentlemen, your pains Are register'd where every day I turn The leaf to read them. Let us toward the king. Think upon what hath chanced, and, at more time, The interim having weigh'd it, let us speak Our free hearts each to other."
The Tragedy of Macbeth,1,3,BANQUO,2,Very gladly.
The Tragedy of Macbeth,1,3,MACBETH,5,"Till then, enough. Come, friends."
The Tragedy of Macbeth,1,4,DUNCAN,12,Is execution done on Cawdor? Are not Those in commission yet return'd?
The Tragedy of Macbeth,1,4,MALCOLM,72,"My liege, They are not yet come back. But I have spoke With one that saw him die: who did report That very frankly he confess'd his treasons, Implored your highness' pardon and set forth A deep repentance: nothing in his life Became him like the leaving it; he died As one that had been studied in his death To throw away the dearest thing he owed, As 'twere a careless trifle."
The Tragedy of Macbeth,1,4,DUNCAN,84,"There's no art To find the mind's construction in the face: He was a gentleman on whom I built An absolute trust. O worthiest cousin! The sin of my ingratitude even now Was heavy on me: thou art so far before That swiftest wing of recompense is slow To overtake thee. Would thou hadst less deserved, That the proportion both of thanks and payment Might have been mine! only I have left to say, More is thy due than more than all can pay."
The Tragedy of Macbeth,1,4,MACBETH,48,"The service and the loyalty I owe, In doing it, pays itself. Your highness' part Is to receive our duties; and our duties Are to your throne and state children and servants, Which do but what they should, by doing every thing Safe toward your love and honour."
The Tragedy of Macbeth,1,4,DUNCAN,44,"Welcome hither: I have begun to plant thee, and will labour To make thee full of growing. Noble Banquo, That hast no less deserved, nor must be known No less to have done so, let me enfold thee And hold thee to my heart."
The Tragedy of Macbeth,1,4,BANQUO,9,"There if I grow, The harvest is your own."
The Tragedy of Macbeth,1,4,DUNCAN,71,"My plenteous joys, Wanton in fulness, seek to hide themselves In drops of sorrow. Sons, kinsmen, thanes, And you whose places are the nearest, know We will establish our estate upon Our eldest, Malcolm, whom we name hereafter The Prince of Cumberland; which honour must Not unaccompanied invest him only, But signs of nobleness, like stars, shall shine On all deservers. From hence to Inverness, And bind us further to you."
The Tragedy of Macbeth,1,4,MACBETH,31,"The rest is labour, which is not used for you: I'll be myself the harbinger and make joyful The hearing of my wife with your approach; So humbly take my leave."
The Tragedy of Macbeth,1,4,DUNCAN,3,My worthy Cawdor!
The Tragedy of Macbeth,1,4,MACBETH,48,"On which I must fall down, or else o'erleap, For in my way it lies. Stars, hide your fires; Let not light see my black and deep desires: The eye wink at the hand; yet let that be, Which the eye fears, when it is done, to see."
The Tragedy of Macbeth,1,4,DUNCAN,38,"True, worthy Banquo; he is full so valiant, And in his commendations I am fed; It is a banquet to me. Let's after him, Whose care is gone before to bid us welcome: It is a peerless kinsman."
The Tragedy of Macbeth,1,5,LADY MACBETH,261,"'They met me in the day of success: and I have learned by the perfectest report, they have more in them than mortal knowledge. When I burned in desire to question them further, they made themselves air, into which they vanished. Whiles I stood rapt in the wonder of it, came missives from the king, who all-hailed me 'Thane of Cawdor;' by which title, before, these weird sisters saluted me, and referred me to the coming on of time, with 'Hail, king that shalt be!' This have I thought good to deliver thee, my dearest partner of greatness, that thou mightst not lose the dues of rejoicing, by being ignorant of what greatness is promised thee. Lay it to thy heart, and farewell.' Glamis thou art, and Cawdor; and shalt be What thou art promised: yet do I fear thy nature; It is too full o' the milk of human kindness To catch the nearest way: thou wouldst be great; Art not without ambition, but without The illness should attend it: what thou wouldst highly, That wouldst thou holily; wouldst not play false, And yet wouldst wrongly win: thou'ldst have, great Glamis, That which cries 'Thus thou must do, if thou have it; And that which rather thou dost fear to do Than wishest should be undone.' Hie thee hither, That I may pour my spirits in thine ear; And chastise with the valour of my tongue All that impedes thee from the golden round, Which fate and metaphysical aid doth seem To have thee crown'd withal. What is your tidings?"
The Tragedy of Macbeth,1,5,MESSENGER,5,The king comes here to-night.
The Tragedy of Macbeth,1,5,LADY MACBETH,19,"Thou'rt mad to say it: Is not thy master with him? who, were't so, Would have inform'd for preparation."
The Tragedy of Macbeth,1,5,MESSENGER,33,"So please you, it is true: our thane is coming: One of my fellows had the speed of him, Who, almost dead for breath, had scarcely more Than would make up his message."
The Tragedy of Macbeth,1,5,LADY MACBETH,164,"Give him tending; He brings great news. The raven himself is hoarse That croaks the fatal entrance of Duncan Under my battlements. Come, you spirits That tend on mortal thoughts, unsex me here, And fill me from the crown to the toe top-full Of direst cruelty! make thick my blood; Stop up the access and passage to remorse, That no compunctious visitings of nature Shake my fell purpose, nor keep peace between The effect and it! Come to my woman's breasts, And take my milk for gall, you murdering ministers, Wherever in your sightless substances You wait on nature's mischief! Come, thick night, And pall thee in the dunnest smoke of hell, That my keen knife see not the wound it makes, Nor heaven peep through the blanket of the dark, To cry 'Hold, hold!' Great Glamis! worthy Cawdor! Greater than both, by the all-hail hereafter! Thy letters have transported me beyond This ignorant present, and I feel now The future in the instant."
The Tragedy of Macbeth,1,5,MACBETH,7,"My dearest love, Duncan comes here to-night."
The Tragedy of Macbeth,1,5,LADY MACBETH,4,And when goes hence?
The Tragedy of Macbeth,1,5,MACBETH,4,"To-morrow, as he purposes."
The Tragedy of Macbeth,1,5,LADY MACBETH,82,"O, never Shall sun that morrow see! Your face, my thane, is as a book where men May read strange matters. To beguile the time, Look like the time; bear welcome in your eye, Your hand, your tongue: look like the innocent flower, But be the serpent under't. He that's coming Must be provided for: and you shall put This night's great business into my dispatch; Which shall to all our nights and days to come Give solely sovereign sway and masterdom."
The Tragedy of Macbeth,1,5,MACBETH,4,We will speak further.
The Tragedy of Macbeth,1,5,LADY MACBETH,17,Only look up clear; To alter favour ever is to fear: Leave all the rest to me.
The Tragedy of Macbeth,1,6,DUNCAN,17,This castle hath a pleasant seat; the air Nimbly and sweetly recommends itself Unto our gentle senses.
The Tragedy of Macbeth,1,6,BANQUO,52,"This guest of summer, The temple-haunting martlet, does approve, By his loved mansionry, that the heaven's breath Smells wooingly here: no jutty, frieze, Buttress, nor coign of vantage, but this bird Hath made his pendent bed and procreant cradle: Where they most breed and haunt, I have observed, The air is delicate."
The Tragedy of Macbeth,1,6,DUNCAN,40,"See, see, our honour'd hostess! The love that follows us sometime is our trouble, Which still we thank as love. Herein I teach you How you shall bid God 'ild us for your pains, And thank us for your trouble."
The Tragedy of Macbeth,1,6,LADY MACBETH,47,"All our service In every point twice done and then done double Were poor and single business to contend Against those honours deep and broad wherewith Your majesty loads our house: for those of old, And the late dignities heap'd up to them, We rest your hermits."
The Tragedy of Macbeth,1,6,DUNCAN,48,"Where's the thane of Cawdor? We coursed him at the heels, and had a purpose To be his purveyor: but he rides well; And his great love, sharp as his spur, hath holp him To his home before us. Fair and noble hostess, We are your guest to-night."
The Tragedy of Macbeth,1,6,LADY MACBETH,25,"Your servants ever Have theirs, themselves and what is theirs, in compt, To make their audit at your highness' pleasure, Still to return your own."
The Tragedy of Macbeth,1,6,DUNCAN,24,"Give me your hand; Conduct me to mine host: we love him highly, And shall continue our graces towards him. By your leave, hostess."
The Tragedy of Macbeth,1,7,MACBETH,222,"If it were done when 'tis done, then 'twere well It were done quickly: if the assassination Could trammel up the consequence, and catch With his surcease success; that but this blow Might be the be-all and the end-all here, But here, upon this bank and shoal of time, We'ld jump the life to come. But in these cases We still have judgment here; that we but teach Bloody instructions, which, being taught, return To plague the inventor: this even-handed justice Commends the ingredients of our poison'd chalice To our own lips. He's here in double trust; First, as I am his kinsman and his subject, Strong both against the deed; then, as his host, Who should against his murderer shut the door, Not bear the knife myself. Besides, this Duncan Hath borne his faculties so meek, hath been So clear in his great office, that his virtues Will plead like angels, trumpet-tongued, against The deep damnation of his taking-off; And pity, like a naked new-born babe, Striding the blast, or heaven's cherubim, horsed Upon the sightless couriers of the air, Shall blow the horrid deed in every eye, That tears shall drown the wind. I have no spur To prick the sides of my intent, but only Vaulting ambition, which o'erleaps itself And falls on the other. How now! what news?"
The Tragedy of Macbeth,1,7,LADY MACBETH,10,He has almost supp'd: why have you left the chamber?
The Tragedy of Macbeth,1,7,MACBETH,5,Hath he ask'd for me?
The Tragedy of Macbeth,1,7,LADY MACBETH,5,Know you not he has?
The Tragedy of Macbeth,1,7,MACBETH,39,"We will proceed no further in this business: He hath honour'd me of late; and I have bought Golden opinions from all sorts of people, Which would be worn now in their newest gloss, Not cast aside so soon."
The Tragedy of Macbeth,1,7,LADY MACBETH,88,"Was the hope drunk Wherein you dress'd yourself? hath it slept since? And wakes it now, to look so green and pale At what it did so freely? From this time Such I account thy love. Art thou afeard To be the same in thine own act and valour As thou art in desire? Wouldst thou have that Which thou esteem'st the ornament of life, And live a coward in thine own esteem, Letting 'I dare not' wait upon 'I would,' Like the poor cat i' the adage?"
The Tragedy of Macbeth,1,7,MACBETH,17,"Prithee, peace: I dare do all that may become a man; Who dares do more is none."
The Tragedy of Macbeth,1,7,LADY MACBETH,111,"What beast was't, then, That made you break this enterprise to me? When you durst do it, then you were a man; And, to be more than what you were, you would Be so much more the man. Nor time nor place Did then adhere, and yet you would make both: They have made themselves, and that their fitness now Does unmake you. I have given suck, and know How tender 'tis to love the babe that milks me: I would, while it was smiling in my face, Have pluck'd my nipple from his boneless gums, And dash'd the brains out, had I so sworn as you Have done to this."
The Tragedy of Macbeth,1,7,MACBETH,4,If we should fail?
The Tragedy of Macbeth,1,7,LADY MACBETH,95,"We fail! But screw your courage to the sticking-place, And we'll not fail. When Duncan is asleep-- Whereto the rather shall his day's hard journey Soundly invite him--his two chamberlains Will I with wine and wassail so convince That memory, the warder of the brain, Shall be a fume, and the receipt of reason A limbeck only: when in swinish sleep Their drenched natures lie as in a death, What cannot you and I perform upon The unguarded Duncan? what not put upon His spongy officers, who shall bear the guilt Of our great quell?"
The Tragedy of Macbeth,1,7,MACBETH,40,"Bring forth men-children only; For thy undaunted mettle should compose Nothing but males. Will it not be received, When we have mark'd with blood those sleepy two Of his own chamber and used their very daggers, That they have done't?"
The Tragedy of Macbeth,1,7,LADY MACBETH,17,"Who dares receive it other, As we shall make our griefs and clamour roar Upon his death?"
The Tragedy of Macbeth,1,7,MACBETH,31,"I am settled, and bend up Each corporal agent to this terrible feat. Away, and mock the time with fairest show: False face must hide what the false heart doth know."
The Tragedy of Macbeth,2,1,BANQUO,5,"How goes the night, boy?"
The Tragedy of Macbeth,2,1,FLEANCE,10,The moon is down; I have not heard the clock.
The Tragedy of Macbeth,2,1,BANQUO,6,And she goes down at twelve.
The Tragedy of Macbeth,2,1,FLEANCE,5,"I take't, 'tis later, sir."
The Tragedy of Macbeth,2,1,BANQUO,52,"Hold, take my sword. There's husbandry in heaven; Their candles are all out. Take thee that too. A heavy summons lies like lead upon me, And yet I would not sleep: merciful powers, Restrain in me the cursed thoughts that nature Gives way to in repose! Give me my sword. Who's there?"
The Tragedy of Macbeth,2,1,MACBETH,2,A friend.
The Tragedy of Macbeth,2,1,BANQUO,43,"What, sir, not yet at rest? The king's a-bed: He hath been in unusual pleasure, and Sent forth great largess to your offices. This diamond he greets your wife withal, By the name of most kind hostess; and shut up In measureless content."
The Tragedy of Macbeth,2,1,MACBETH,15,"Being unprepared, Our will became the servant to defect; Which else should free have wrought."
The Tragedy of Macbeth,2,1,BANQUO,18,All's well. I dreamt last night of the three weird sisters: To you they have show'd some truth.
The Tragedy of Macbeth,2,1,MACBETH,30,"I think not of them: Yet, when we can entreat an hour to serve, We would spend it in some words upon that business, If you would grant the time."
The Tragedy of Macbeth,2,1,BANQUO,4,At your kind'st leisure.
The Tragedy of Macbeth,2,1,MACBETH,15,"If you shall cleave to my consent, when 'tis, It shall make honour for you."
The Tragedy of Macbeth,2,1,BANQUO,22,"So I lose none In seeking to augment it, but still keep My bosom franchised and allegiance clear, I shall be counsell'd."
The Tragedy of Macbeth,2,1,MACBETH,4,Good repose the while!
The Tragedy of Macbeth,2,1,BANQUO,6,"Thanks, sir: the like to you!"
The Tragedy of Macbeth,2,1,MACBETH,281,"Go bid thy mistress, when my drink is ready, She strike upon the bell. Get thee to bed. Is this a dagger which I see before me, The handle toward my hand? Come, let me clutch thee. I have thee not, and yet I see thee still. Art thou not, fatal vision, sensible To feeling as to sight? or art thou but A dagger of the mind, a false creation, Proceeding from the heat-oppressed brain? I see thee yet, in form as palpable As this which now I draw. Thou marshall'st me the way that I was going; And such an instrument I was to use. Mine eyes are made the fools o' the other senses, Or else worth all the rest; I see thee still, And on thy blade and dudgeon gouts of blood, Which was not so before. There's no such thing: It is the bloody business which informs Thus to mine eyes. Now o'er the one halfworld Nature seems dead, and wicked dreams abuse The curtain'd sleep; witchcraft celebrates Pale Hecate's offerings, and wither'd murder, Alarum'd by his sentinel, the wolf, Whose howl's his watch, thus with his stealthy pace. With Tarquin's ravishing strides, towards his design Moves like a ghost. Thou sure and firm-set earth, Hear not my steps, which way they walk, for fear Thy very stones prate of my whereabout, And take the present horror from the time, Which now suits with it. Whiles I threat, he lives: Words to the heat of deeds too cold breath gives. I go, and it is done; the bell invites me. Hear it not, Duncan; for it is a knell That summons thee to heaven or to hell."
The Tragedy of Macbeth,2,2,LADY MACBETH,70,"That which hath made them drunk hath made me bold; What hath quench'd them hath given me fire. Hark! Peace! It was the owl that shriek'd, the fatal bellman, Which gives the stern'st good-night. He is about it: The doors are open; and the surfeited grooms Do mock their charge with snores: I have drugg'd their possets, That death and nature do contend about them, Whether they live or die."
The Tragedy of Macbeth,2,2,LADY MACBETH,44,"Alack, I am afraid they have awaked, And 'tis not done. The attempt and not the deed Confounds us. Hark! I laid their daggers ready; He could not miss 'em. Had he not resembled My father as he slept, I had done't. My husband!"
The Tragedy of Macbeth,2,2,MACBETH,11,I have done the deed. Didst thou not hear a noise?
The Tragedy of Macbeth,2,2,LADY MACBETH,13,I heard the owl scream and the crickets cry. Did not you speak?
The Tragedy of Macbeth,2,2,MACBETH,1,When?
The Tragedy of Macbeth,2,2,LADY MACBETH,1,Now.
The Tragedy of Macbeth,2,2,MACBETH,3,As I descended?
The Tragedy of Macbeth,2,2,LADY MACBETH,1,Ay.
The Tragedy of Macbeth,2,2,MACBETH,7,Hark! Who lies i' the second chamber?
The Tragedy of Macbeth,2,2,LADY MACBETH,1,Donalbain.
The Tragedy of Macbeth,2,2,MACBETH,5,This is a sorry sight.
The Tragedy of Macbeth,2,2,LADY MACBETH,8,"A foolish thought, to say a sorry sight."
The Tragedy of Macbeth,2,2,MACBETH,33,"There's one did laugh in's sleep, and one cried 'Murder!' That they did wake each other: I stood and heard them: But they did say their prayers, and address'd them Again to sleep."
The Tragedy of Macbeth,2,2,LADY MACBETH,5,There are two lodged together.
The Tragedy of Macbeth,2,2,MACBETH,33,"One cried 'God bless us!' and 'Amen' the other; As they had seen me with these hangman's hands. Listening their fear, I could not say 'Amen,' When they did say 'God bless us!'"
The Tragedy of Macbeth,2,2,LADY MACBETH,5,Consider it not so deeply.
The Tragedy of Macbeth,2,2,MACBETH,19,"But wherefore could not I pronounce 'Amen'? I had most need of blessing, and 'Amen' Stuck in my throat."
The Tragedy of Macbeth,2,2,LADY MACBETH,15,"These deeds must not be thought After these ways; so, it will make us mad."
The Tragedy of Macbeth,2,2,MACBETH,47,"Methought I heard a voice cry 'Sleep no more! Macbeth does murder sleep', the innocent sleep, Sleep that knits up the ravell'd sleeve of care, The death of each day's life, sore labour's bath, Balm of hurt minds, great nature's second course, Chief nourisher in life's feast,--"
The Tragedy of Macbeth,2,2,LADY MACBETH,4,What do you mean?
The Tragedy of Macbeth,2,2,MACBETH,26,"Still it cried 'Sleep no more!' to all the house: 'Glamis hath murder'd sleep, and therefore Cawdor Shall sleep no more; Macbeth shall sleep no more.'"
The Tragedy of Macbeth,2,2,LADY MACBETH,56,"Who was it that thus cried? Why, worthy thane, You do unbend your noble strength, to think So brainsickly of things. Go get some water, And wash this filthy witness from your hand. Why did you bring these daggers from the place? They must lie there: go carry them; and smear The sleepy grooms with blood."
The Tragedy of Macbeth,2,2,MACBETH,19,I'll go no more: I am afraid to think what I have done; Look on't again I dare not.
The Tragedy of Macbeth,2,2,LADY MACBETH,44,"Infirm of purpose! Give me the daggers: the sleeping and the dead Are but as pictures: 'tis the eye of childhood That fears a painted devil. If he do bleed, I'll gild the faces of the grooms withal; For it must seem their guilt."
The Tragedy of Macbeth,2,2,MACBETH,51,"Whence is that knocking? How is't with me, when every noise appals me? What hands are here? ha! they pluck out mine eyes. Will all great Neptune's ocean wash this blood Clean from my hand? No, this my hand will rather The multitudinous seas in incarnadine, Making the green one red."
The Tragedy of Macbeth,2,2,LADY MACBETH,72,"My hands are of your colour; but I shame To wear a heart so white. I hear a knocking At the south entry: retire we to our chamber; A little water clears us of this deed: How easy is it, then! Your constancy Hath left you unattended. Hark! more knocking. Get on your nightgown, lest occasion call us, And show us to be watchers. Be not lost So poorly in your thoughts."
The Tragedy of Macbeth,2,2,MACBETH,18,"To know my deed, 'twere best not know myself. Wake Duncan with thy knocking! I would thou couldst!"
