Play,Act,Scene,Character,Line Count,Text
The Tragedy of Antony and Cleopatra,1,2,IRAS,8,"There's a palm presages chastity, if nothing else."
The Tragedy of Antony and Cleopatra,1,2,CHARMIAN,7,E'en as the o'erflowing Nilus presageth famine.
The Tragedy of Antony and Cleopatra,1,2,IRAS,7,"Go, you wild bedfellow, you cannot soothsay."
The Tragedy of Antony and Cleopatra,1,2,CHARMIAN,22,"Nay, if an oily palm be not a fruitful prognostication, I cannot scratch mine ear. Prithee, tell her but a worky-day fortune."
The Tragedy of Antony and Cleopatra,1,2,SOOTHSAYER,4,Your fortunes are alike.
The Tragedy of Antony and Cleopatra,1,2,IRAS,7,"But how, but how? give me particulars."
The Tragedy of Antony and Cleopatra,1,2,SOOTHSAYER,3,I have said.
The Tragedy of Antony and Cleopatra,1,2,IRAS,10,Am I not an inch of fortune better than she?
The Tragedy of Antony and Cleopatra,1,2,CHARMIAN,17,"Well, if you were but an inch of fortune better than I, where would you choose it?"
The Tragedy of Antony and Cleopatra,1,2,IRAS,5,Not in my husband's nose.
The Tragedy of Antony and Cleopatra,1,2,CHARMIAN,73,"Our worser thoughts heavens mend! Alexas,--come, his fortune, his fortune! O, let him marry a woman that cannot go, sweet Isis, I beseech thee! and let her die too, and give him a worse! and let worst follow worse, till the worst of all follow him laughing to his grave, fifty-fold a cuckold! Good Isis, hear me this prayer, though thou deny me a matter of more weight; good Isis, I beseech thee!"
The Tragedy of Antony and Cleopatra,1,2,IRAS,42,"Amen. Dear goddess, hear that prayer of the people! for, as it is a heartbreaking to see a handsome man loose-wived, so it is a deadly sorrow to behold a foul knave uncuckolded: therefore, dear Isis, keep decorum, and fortune him accordingly!"
The Tragedy of Antony and Cleopatra,1,2,CHARMIAN,1,Amen.
The Tragedy of Antony and Cleopatra,1,2,ALEXAS,21,"Lo, now, if it lay in their hands to make me a cuckold, they would make themselves whores, but they'ld do't!"
The Tragedy of Antony and Cleopatra,1,2,DOMITIUS ENOBARBUS,4,Hush! here comes Antony.
The Tragedy of Antony and Cleopatra,1,2,CHARMIAN,4,Not he; the queen.
The Tragedy of Antony and Cleopatra,1,2,CLEOPATRA,4,Saw you my lord?
The Tragedy of Antony and Cleopatra,1,2,DOMITIUS ENOBARBUS,2,"No, lady."
The Tragedy of Antony and Cleopatra,1,2,CLEOPATRA,4,Was he not here?
The Tragedy of Antony and Cleopatra,1,2,CHARMIAN,2,"No, madam."
The Tragedy of Antony and Cleopatra,1,2,CLEOPATRA,16,He was disposed to mirth; but on the sudden A Roman thought hath struck him. Enobarbus!
The Tragedy of Antony and Cleopatra,1,2,DOMITIUS ENOBARBUS,1,Madam?
The Tragedy of Antony and Cleopatra,1,2,CLEOPATRA,8,"Seek him, and bring him hither. Where's Alexas?"
The Tragedy of Antony and Cleopatra,1,2,ALEXAS,7,"Here, at your service. My lord approaches."
The Tragedy of Antony and Cleopatra,1,2,CLEOPATRA,9,We will not look upon him: go with us.
The Tragedy of Antony and Cleopatra,1,2,MESSENGER,8,Fulvia thy wife first came into the field.
The Tragedy of Antony and Cleopatra,1,2,MARK ANTONY,4,Against my brother Lucius?
The Tragedy of Antony and Cleopatra,1,2,MESSENGER,34,"Ay: But soon that war had end, and the time's state Made friends of them, joining their force 'gainst Caesar; Whose better issue in the war, from Italy, Upon the first encounter, drave them."
The Tragedy of Antony and Cleopatra,1,2,MARK ANTONY,3,"Well, what worst?"
The Tragedy of Antony and Cleopatra,1,2,MESSENGER,8,The nature of bad news infects the teller.
The Tragedy of Antony and Cleopatra,1,2,MARK ANTONY,34,"When it concerns the fool or coward. On: Things that are past are done with me. 'Tis thus: Who tells me true, though in his tale lie death, I hear him as he flatter'd."
The Tragedy of Antony and Cleopatra,1,2,MESSENGER,25,"Labienus-- This is stiff news--hath, with his Parthian force, Extended Asia from Euphrates; His conquering banner shook from Syria To Lydia and to Ionia; Whilst--"
The Tragedy of Antony and Cleopatra,1,2,MARK ANTONY,4,"Antony, thou wouldst say,--"
The Tragedy of Antony and Cleopatra,1,2,MESSENGER,3,"O, my lord!"
The Tragedy of Antony and Cleopatra,1,2,MARK ANTONY,64,"Speak to me home, mince not the general tongue: Name Cleopatra as she is call'd in Rome; Rail thou in Fulvia's phrase; and taunt my faults With such full licence as both truth and malice Have power to utter. O, then we bring forth weeds, When our quick minds lie still; and our ills told us Is as our earing. Fare thee well awhile."
The Tragedy of Antony and Cleopatra,1,2,MESSENGER,4,At your noble pleasure.
The Tragedy of Antony and Cleopatra,1,2,MARK ANTONY,7,"From Sicyon, ho, the news! Speak there!"
The Tragedy of Antony and Cleopatra,1,2,FIRST ATTENDANT,8,"The man from Sicyon,--is there such an one?"
The Tragedy of Antony and Cleopatra,1,2,SECOND ATTENDANT,5,He stays upon your will.
The Tragedy of Antony and Cleopatra,1,2,MARK ANTONY,18,"Let him appear. These strong Egyptian fetters I must break, Or lose myself in dotage. What are you?"
The Tragedy of Antony and Cleopatra,1,2,SECOND MESSENGER,5,Fulvia thy wife is dead.
The Tragedy of Antony and Cleopatra,1,2,MARK ANTONY,3,Where died she?
The Tragedy of Antony and Cleopatra,1,2,SECOND MESSENGER,17,"In Sicyon: Her length of sickness, with what else more serious Importeth thee to know, this bears."
The Tragedy of Antony and Cleopatra,1,2,MARK ANTONY,75,"Forbear me. There's a great spirit gone! Thus did I desire it: What our contempt doth often hurl from us, We wish it ours again; the present pleasure, By revolution lowering, does become The opposite of itself: she's good, being gone; The hand could pluck her back that shoved her on. I must from this enchanting queen break off: Ten thousand harms, more than the ills I know, My idleness doth hatch. How now! Enobarbus!"
The Tragedy of Antony and Cleopatra,1,2,DOMITIUS ENOBARBUS,4,"What's your pleasure, sir?"
The Tragedy of Antony and Cleopatra,1,2,MARK ANTONY,6,I must with haste from hence.
The Tragedy of Antony and Cleopatra,1,2,DOMITIUS ENOBARBUS,24,"Why, then, we kill all our women: we see how mortal an unkindness is to them; if they suffer our departure, death's the word."
The Tragedy of Antony and Cleopatra,1,2,MARK ANTONY,4,I must be gone.
The Tragedy of Antony and Cleopatra,1,2,DOMITIUS ENOBARBUS,71,"Under a compelling occasion, let women die; it were pity to cast them away for nothing; though, between them and a great cause, they should be esteemed nothing. Cleopatra, catching but the least noise of this, dies instantly; I have seen her die twenty times upon far poorer moment: I do think there is mettle in death, which commits some loving act upon her, she hath such a celerity in dying."
The Tragedy of Antony and Cleopatra,1,2,MARK ANTONY,6,She is cunning past man's thought.
The Tragedy of Antony and Cleopatra,1,2,DOMITIUS ENOBARBUS,55,"Alack, sir, no; her passions are made of nothing but the finest part of pure love: we cannot call her winds and waters sighs and tears; they are greater storms and tempests than almanacs can report: this cannot be cunning in her; if it be, she makes a shower of rain as well as Jove."
The Tragedy of Antony and Cleopatra,1,2,MARK ANTONY,6,Would I had never seen her.
The Tragedy of Antony and Cleopatra,1,2,DOMITIUS ENOBARBUS,24,"O, sir, you had then left unseen a wonderful piece of work; which not to have been blest withal would have discredited your travel."
The Tragedy of Antony and Cleopatra,1,2,MARK ANTONY,3,Fulvia is dead.
The Tragedy of Antony and Cleopatra,1,2,DOMITIUS ENOBARBUS,1,Sir?
The Tragedy of Antony and Cleopatra,1,2,MARK ANTONY,3,Fulvia is dead.
The Tragedy of Antony and Cleopatra,1,2,DOMITIUS ENOBARBUS,1,Fulvia!
The Tragedy of Antony and Cleopatra,1,2,MARK ANTONY,1,Dead.
The Tragedy of Antony and Cleopatra,1,2,DOMITIUS ENOBARBUS,93,"Why, sir, give the gods a thankful sacrifice. When it pleaseth their deities to take the wife of a man from him, it shows to man the tailors of the earth; comforting therein, that when old robes are worn out, there are members to make new. If there were no more women but Fulvia, then had you indeed a cut, and the case to be lamented: this grief is crowned with consolation; your old smock brings forth a new petticoat: and indeed the tears live in an onion that should water this sorrow."
The Tragedy of Antony and Cleopatra,1,2,MARK ANTONY,12,The business she hath broached in the state Cannot endure my absence.
The Tragedy of Antony and Cleopatra,1,2,DOMITIUS ENOBARBUS,21,"And the business you have broached here cannot be without you; especially that of Cleopatra's, which wholly depends on your abode."
The Tragedy of Antony and Cleopatra,1,2,MARK ANTONY,167,"No more light answers. Let our officers Have notice what we purpose. I shall break The cause of our expedience to the queen, And get her leave to part. For not alone The death of Fulvia, with more urgent touches, Do strongly speak to us; but the letters too Of many our contriving friends in Rome Petition us at home: Sextus Pompeius Hath given the dare to Caesar, and commands The empire of the sea: our slippery people, Whose love is never link'd to the deserver Till his deserts are past, begin to throw Pompey the Great and all his dignities Upon his son; who, high in name and power, Higher than both in blood and life, stands up For the main soldier: whose quality, going on, The sides o' the world may danger: much is breeding, Which, like the courser's hair, hath yet but life, And not a serpent's poison. Say, our pleasure, To such whose place is under us, requires Our quick remove from hence."
The Tragedy of Antony and Cleopatra,1,2,DOMITIUS ENOBARBUS,3,I shall do't.
The Tragedy of Antony and Cleopatra,1,3,CLEOPATRA,3,Where is he?
The Tragedy of Antony and Cleopatra,1,3,CHARMIAN,6,I did not see him since.
The Tragedy of Antony and Cleopatra,1,3,CLEOPATRA,36,"See where he is, who's with him, what he does: I did not send you: if you find him sad, Say I am dancing; if in mirth, report That I am sudden sick: quick, and return."
The Tragedy of Antony and Cleopatra,1,3,CHARMIAN,20,"Madam, methinks, if you did love him dearly, You do not hold the method to enforce The like from him."
The Tragedy of Antony and Cleopatra,1,3,CLEOPATRA,7,"What should I do, I do not?"
The Tragedy of Antony and Cleopatra,1,3,CHARMIAN,9,"In each thing give him way, cross him nothing."
The Tragedy of Antony and Cleopatra,1,3,CLEOPATRA,10,Thou teachest like a fool; the way to lose him.
The Tragedy of Antony and Cleopatra,1,3,CHARMIAN,22,"Tempt him not so too far; I wish, forbear: In time we hate that which we often fear. But here comes Antony."
The Tragedy of Antony and Cleopatra,1,3,CLEOPATRA,5,I am sick and sullen.
The Tragedy of Antony and Cleopatra,1,3,MARK ANTONY,9,"I am sorry to give breathing to my purpose,--"
The Tragedy of Antony and Cleopatra,1,3,CLEOPATRA,21,"Help me away, dear Charmian; I shall fall: It cannot be thus long, the sides of nature Will not sustain it."
The Tragedy of Antony and Cleopatra,1,3,MARK ANTONY,4,"Now, my dearest queen,--"
The Tragedy of Antony and Cleopatra,1,3,CLEOPATRA,6,"Pray you, stand further from me."
The Tragedy of Antony and Cleopatra,1,3,MARK ANTONY,3,What's the matter?
The Tragedy of Antony and Cleopatra,1,3,CLEOPATRA,46,"I know, by that same eye, there's some good news. What says the married woman? You may go: Would she had never given you leave to come! Let her not say 'tis I that keep you here: I have no power upon you; hers you are."
The Tragedy of Antony and Cleopatra,1,3,MARK ANTONY,4,"The gods best know,--"
The Tragedy of Antony and Cleopatra,1,3,CLEOPATRA,17,"O, never was there queen So mightily betray'd! yet at the first I saw the treasons planted."
The Tragedy of Antony and Cleopatra,1,3,MARK ANTONY,1,"Cleopatra,--"
The Tragedy of Antony and Cleopatra,1,3,CLEOPATRA,38,"Why should I think you can be mine and true, Though you in swearing shake the throned gods, Who have been false to Fulvia? Riotous madness, To be entangled with those mouth-made vows, Which break themselves in swearing!"
The Tragedy of Antony and Cleopatra,1,3,MARK ANTONY,3,"Most sweet queen,--"
The Tragedy of Antony and Cleopatra,1,3,CLEOPATRA,67,"Nay, pray you, seek no colour for your going, But bid farewell, and go: when you sued staying, Then was the time for words: no going then; Eternity was in our lips and eyes, Bliss in our brows' bent; none our parts so poor, But was a race of heaven: they are so still, Or thou, the greatest soldier of the world, Art turn'd the greatest liar."
The Tragedy of Antony and Cleopatra,1,3,MARK ANTONY,3,"How now, lady!"
The Tragedy of Antony and Cleopatra,1,3,CLEOPATRA,15,I would I had thy inches; thou shouldst know There were a heart in Egypt.
The Tragedy of Antony and Cleopatra,1,3,MARK ANTONY,110,"Hear me, queen: The strong necessity of time commands Our services awhile; but my full heart Remains in use with you. Our Italy Shines o'er with civil swords: Sextus Pompeius Makes his approaches to the port of Rome: Equality of two domestic powers Breed scrupulous faction: the hated, grown to strength, Are newly grown to love: the condemn'd Pompey, Rich in his father's honour, creeps apace, Into the hearts of such as have not thrived Upon the present state, whose numbers threaten; And quietness, grown sick of rest, would purge By any desperate change: my more particular, And that which most with you should safe my going, Is Fulvia's death."
The Tragedy of Antony and Cleopatra,1,3,CLEOPATRA,16,"Though age from folly could not give me freedom, It does from childishness: can Fulvia die?"
The Tragedy of Antony and Cleopatra,1,3,MARK ANTONY,26,"She's dead, my queen: Look here, and at thy sovereign leisure read The garboils she awaked; at the last, best: See when and where she died."
The Tragedy of Antony and Cleopatra,1,3,CLEOPATRA,28,"O most false love! Where be the sacred vials thou shouldst fill With sorrowful water? Now I see, I see, In Fulvia's death, how mine received shall be."
The Tragedy of Antony and Cleopatra,1,3,MARK ANTONY,43,"Quarrel no more, but be prepared to know The purposes I bear; which are, or cease, As you shall give the advice. By the fire That quickens Nilus' slime, I go from hence Thy soldier, servant; making peace or war As thou affect'st."
The Tragedy of Antony and Cleopatra,1,3,CLEOPATRA,18,"Cut my lace, Charmian, come; But let it be: I am quickly ill, and well, So Antony loves."
The Tragedy of Antony and Cleopatra,1,3,MARK ANTONY,16,"My precious queen, forbear; And give true evidence to his love, which stands An honourable trial."
The Tragedy of Antony and Cleopatra,1,3,CLEOPATRA,39,"So Fulvia told me. I prithee, turn aside and weep for her, Then bid adieu to me, and say the tears Belong to Egypt: good now, play one scene Of excellent dissembling; and let it look Life perfect honour."
The Tragedy of Antony and Cleopatra,1,3,MARK ANTONY,6,You'll heat my blood: no more.
The Tragedy of Antony and Cleopatra,1,3,CLEOPATRA,9,You can do better yet; but this is meetly.
The Tragedy of Antony and Cleopatra,1,3,MARK ANTONY,4,"Now, by my sword,--"
The Tragedy of Antony and Cleopatra,1,3,CLEOPATRA,25,"And target. Still he mends; But this is not the best. Look, prithee, Charmian, How this Herculean Roman does become The carriage of his chafe."
The Tragedy of Antony and Cleopatra,1,3,MARK ANTONY,4,"I'll leave you, lady."
The Tragedy of Antony and Cleopatra,1,3,CLEOPATRA,45,"Courteous lord, one word. Sir, you and I must part, but that's not it: Sir, you and I have loved, but there's not it; That you know well: something it is I would, O, my oblivion is a very Antony, And I am all forgotten."
The Tragedy of Antony and Cleopatra,1,3,MARK ANTONY,15,"But that your royalty Holds idleness your subject, I should take you For idleness itself."
The Tragedy of Antony and Cleopatra,1,3,CLEOPATRA,64,"'Tis sweating labour To bear such idleness so near the heart As Cleopatra this. But, sir, forgive me; Since my becomings kill me, when they do not Eye well to you: your honour calls you hence; Therefore be deaf to my unpitied folly. And all the gods go with you! upon your sword Sit laurel victory! and smooth success Be strew'd before your feet!"
The Tragedy of Antony and Cleopatra,1,3,MARK ANTONY,27,"Let us go. Come; Our separation so abides, and flies, That thou, residing here, go'st yet with me, And I, hence fleeting, here remain with thee. Away!"
The Tragedy of Antony and Cleopatra,1,4,OCTAVIUS CAESAR,77,"You may see, Lepidus, and henceforth know, It is not Caesar's natural vice to hate Our great competitor: from Alexandria This is the news: he fishes, drinks, and wastes The lamps of night in revel; is not more man-like Than Cleopatra; nor the queen of Ptolemy More womanly than he; hardly gave audience, or Vouchsafed to think he had partners: you shall find there A man who is the abstract of all faults That all men follow."
The Tragedy of Antony and Cleopatra,1,4,LEPIDUS,40,"I must not think there are Evils enow to darken all his goodness: His faults in him seem as the spots of heaven, More fiery by night's blackness; hereditary, Rather than purchased; what he cannot change, Than what he chooses."
The Tragedy of Antony and Cleopatra,1,4,OCTAVIUS CAESAR,150,"You are too indulgent. Let us grant, it is not Amiss to tumble on the bed of Ptolemy; To give a kingdom for a mirth; to sit And keep the turn of tippling with a slave; To reel the streets at noon, and stand the buffet With knaves that smell of sweat: say this becomes him,-- As his composure must be rare indeed Whom these things cannot blemish,--yet must Antony No way excuse his soils, when we do bear So great weight in his lightness. If he fill'd His vacancy with his voluptuousness, Full surfeits, and the dryness of his bones, Call on him for't: but to confound such time, That drums him from his sport, and speaks as loud As his own state and ours,--'tis to be chid As we rate boys, who, being mature in knowledge, Pawn their experience to their present pleasure, And so rebel to judgment."
The Tragedy of Antony and Cleopatra,1,4,LEPIDUS,3,Here's more news.
The Tragedy of Antony and Cleopatra,1,4,MESSENGER,49,"Thy biddings have been done; and every hour, Most noble Caesar, shalt thou have report How 'tis abroad. Pompey is strong at sea; And it appears he is beloved of those That only have fear'd Caesar: to the ports The discontents repair, and men's reports Give him much wrong'd."
The Tragedy of Antony and Cleopatra,1,4,OCTAVIUS CAESAR,63,"I should have known no less. It hath been taught us from the primal state, That he which is was wish'd until he were; And the ebb'd man, ne'er loved till ne'er worth love, Comes dear'd by being lack'd. This common body, Like to a vagabond flag upon the stream, Goes to and back, lackeying the varying tide, To rot itself with motion."
The Tragedy of Antony and Cleopatra,1,4,MESSENGER,66,"Caesar, I bring thee word, Menecrates and Menas, famous pirates, Make the sea serve them, which they ear and wound With keels of every kind: many hot inroads They make in Italy; the borders maritime Lack blood to think on't, and flush youth revolt: No vessel can peep forth, but 'tis as soon Taken as seen; for Pompey's name strikes more Than could his war resisted."
The Tragedy of Antony and Cleopatra,1,4,OCTAVIUS CAESAR,127,"Antony, Leave thy lascivious wassails. When thou once Wast beaten from Modena, where thou slew'st Hirtius and Pansa, consuls, at thy heel Did famine follow; whom thou fought'st against, Though daintily brought up, with patience more Than savages could suffer: thou didst drink The stale of horses, and the gilded puddle Which beasts would cough at: thy palate then did deign The roughest berry on the rudest hedge; Yea, like the stag, when snow the pasture sheets, The barks of trees thou browsed'st; on the Alps It is reported thou didst eat strange flesh, Which some did die to look on: and all this-- It wounds thine honour that I speak it now-- Was borne so like a soldier, that thy cheek So much as lank'd not."
The Tragedy of Antony and Cleopatra,1,4,LEPIDUS,4,'Tis pity of him.
The Tragedy of Antony and Cleopatra,1,4,OCTAVIUS CAESAR,31,Let his shames quickly Drive him to Rome: 'tis time we twain Did show ourselves i' the field; and to that end Assemble we immediate council: Pompey Thrives in our idleness.
The Tragedy of Antony and Cleopatra,1,4,LEPIDUS,25,"To-morrow, Caesar, I shall be furnish'd to inform you rightly Both what by sea and land I can be able To front this present time."
The Tragedy of Antony and Cleopatra,1,4,OCTAVIUS CAESAR,9,"Till which encounter, It is my business too. Farewell."
The Tragedy of Antony and Cleopatra,1,4,LEPIDUS,21,"Farewell, my lord: what you shall know meantime Of stirs abroad, I shall beseech you, sir, To let me be partaker."
The Tragedy of Antony and Cleopatra,1,4,OCTAVIUS CAESAR,9,"Doubt not, sir; I knew it for my bond."
The Tragedy of Antony and Cleopatra,1,5,CLEOPATRA,1,Charmian!
The Tragedy of Antony and Cleopatra,1,5,CHARMIAN,1,Madam?
The Tragedy of Antony and Cleopatra,1,5,CLEOPATRA,7,"Ha, ha! Give me to drink mandragora."
The Tragedy of Antony and Cleopatra,1,5,CHARMIAN,2,"Why, madam?"
The Tragedy of Antony and Cleopatra,1,5,CLEOPATRA,14,That I might sleep out this great gap of time My Antony is away.
The Tragedy of Antony and Cleopatra,1,5,CHARMIAN,6,You think of him too much.
The Tragedy of Antony and Cleopatra,1,5,CLEOPATRA,3,"O, 'tis treason!"
The Tragedy of Antony and Cleopatra,1,5,CHARMIAN,5,"Madam, I trust, not so."
The Tragedy of Antony and Cleopatra,1,5,CLEOPATRA,3,"Thou, eunuch Mardian!"
The Tragedy of Antony and Cleopatra,1,5,MARDIAN,4,What's your highness' pleasure?
The Tragedy of Antony and Cleopatra,1,5,CLEOPATRA,34,"Not now to hear thee sing; I take no pleasure In aught an eunuch has: 'tis well for thee, That, being unseminar'd, thy freer thoughts May not fly forth of Egypt. Hast thou affections?"
The Tragedy of Antony and Cleopatra,1,5,MARDIAN,3,"Yes, gracious madam."
The Tragedy of Antony and Cleopatra,1,5,CLEOPATRA,1,Indeed!
The Tragedy of Antony and Cleopatra,1,5,MARDIAN,29,"Not in deed, madam; for I can do nothing But what indeed is honest to be done: Yet have I fierce affections, and think What Venus did with Mars."
The Tragedy of Antony and Cleopatra,1,5,CLEOPATRA,133,"O Charmian, Where think'st thou he is now? Stands he, or sits he? Or does he walk? or is he on his horse? O happy horse, to bear the weight of Antony! Do bravely, horse! for wot'st thou whom thou movest? The demi-Atlas of this earth, the arm And burgonet of men. He's speaking now, Or murmuring 'Where's my serpent of old Nile?' For so he calls me: now I feed myself With most delicious poison. Think on me, That am with Phoebus' amorous pinches black, And wrinkled deep in time? Broad-fronted Caesar, When thou wast here above the ground, I was A morsel for a monarch: and great Pompey Would stand and make his eyes grow in my brow; There would he anchor his aspect and die With looking on his life."
The Tragedy of Antony and Cleopatra,1,5,ALEXAS,4,"Sovereign of Egypt, hail!"
The Tragedy of Antony and Cleopatra,1,5,CLEOPATRA,28,"How much unlike art thou Mark Antony! Yet, coming from him, that great medicine hath With his tinct gilded thee. How goes it with my brave Mark Antony?"
The Tragedy of Antony and Cleopatra,1,5,ALEXAS,22,"Last thing he did, dear queen, He kiss'd,--the last of many doubled kisses,-- This orient pearl. His speech sticks in my heart."
The Tragedy of Antony and Cleopatra,1,5,CLEOPATRA,6,Mine ear must pluck it thence.
The Tragedy of Antony and Cleopatra,1,5,ALEXAS,67,"'Good friend,' quoth he, 'Say, the firm Roman to great Egypt sends This treasure of an oyster; at whose foot, To mend the petty present, I will piece Her opulent throne with kingdoms; all the east, Say thou, shall call her mistress.' So he nodded, And soberly did mount an arm-gaunt steed, Who neigh'd so high, that what I would have spoke Was beastly dumb'd by him."
