play,character,campbell_archetype
"The Tragedy of Hamlet, Prince of Denmark",FRANCISCO,Ally
"The Tragedy of Hamlet, Prince of Denmark",GENTLEMAN,Herald
"The Tragedy of Hamlet, Prince of Denmark",GHOST,Herald
"The Tragedy of Hamlet, Prince of Denmark",GUILDENSTERN,Shapeshifter
"The Tragedy of Hamlet, Prince of Denmark",HAMLET,Hero
"The Tragedy of Hamlet, Prince of Denmark",HORATIO,Ally
"The Tragedy of Hamlet, Prince of Denmark",VOLTIMAND,Herald
The Tragedy of Macbeth,ALL,Herald
The Tragedy of Macbeth,MACDUFF,Hero
The Tragedy of Macbeth,MENTEITH,Ally
The Tragedy of Macbeth,MESSENGER,Herald
The Tragedy of Macbeth,OLD MAN,Mentor
The Tragedy of Macbeth,PORTER,Trickster
The Tragedy of Macbeth,ROSS,Shapeshifter
The Tragedy of Macbeth,SECOND APPARITION,Herald
The Tragedy of Macbeth,SECOND MURDERER,Shadow
The Tragedy of Macbeth,SECOND WITCH,Trickster
The Tragedy of Macbeth,SERGEANT,Herald
The Tragedy of Macbeth,SERVANT,Herald
The Tragedy of Macbeth,SEYTON,Ally
The Tragedy of Macbeth,SIWARD,Ally
The Tragedy of Macbeth,SOLDIERS,Herald
The Tragedy of Macbeth,SON,Ally
The Tragedy of Macbeth,THIRD APPARITION,Herald
The Tragedy of Macbeth,THIRD MURDERER,Shadow
The Tragedy of Macbeth,THIRD WITCH,Trickster
The Tragedy of Macbeth,MALCOLM,Hero
The Tragedy of Macbeth,MACBETH,Shadow
The Tragedy of Macbeth,ANGUS,Ally
The Tragedy of Macbeth,LORDS,Herald
The Tragedy of Macbeth,ATTENDANT,Herald
The Tragedy of Macbeth,BANQUO,Threshold Guardian
The Tragedy of Macbeth,BOTH MURDERERS,Shadow
The Tragedy of Macbeth,CAITHNESS,Ally
The Tragedy of Macbeth,DOCTOR,Ally
The Tragedy of Macbeth,DONALBAIN,Ally
The Tragedy of Macbeth,DUNCAN,Threshold Guardian
The Tragedy of Macbeth,FIRST APPARITION,Herald
The Tragedy of Macbeth,FIRST MURDERER,Shadow
The Tragedy of Macbeth,FIRST WITCH,Trickster
The Tragedy of Macbeth,FLEANCE,Ally
The Tragedy of Macbeth,GENTLEWOMAN,Herald
The Tragedy of Macbeth,HECATE,Mentor
The Tragedy of Macbeth,LADY MACBETH,Shadow
The Tragedy of Macbeth,LADY MACDUFF,Ally
The Tragedy of Macbeth,LENNOX,Ally
The Tragedy of Macbeth,LORD,Herald
The Tragedy of Macbeth,YOUNG SIWARD,Hero
The Tragedy of Romeo and Juliet,NURSE,Ally
The Tragedy of Romeo and Juliet,LADY CAPULET,Threshold Guardian
The Tragedy of Romeo and Juliet,SAMPSON,Trickster
The Tragedy of Romeo and Juliet,PAGE,Herald
The Tragedy of Romeo and Juliet,PARIS,Threshold Guardian
The Tragedy of Romeo and Juliet,PETER,Trickster
The Tragedy of Romeo and Juliet,PRINCE,Threshold Guardian
The Tragedy of Romeo and Juliet,ROMEO,Hero
The Tragedy of Romeo and Juliet,ABRAHAM,Ally
The Tragedy of Romeo and Juliet,MUSICIAN,Trickster
The Tragedy of Romeo and Juliet,SECOND MUSICIAN,Trickster
The Tragedy of Romeo and Juliet,SECOND SERVANT,Herald
The Tragedy of Romeo and Juliet,SECOND WATCHMAN,Ally
The Tragedy of Romeo and Juliet,SERVANT,Herald
The Tragedy of Romeo and Juliet,THIRD MUSICIAN,Trickster
The Tragedy of Romeo and Juliet,THIRD WATCHMAN,Ally
The Tragedy of Romeo and Juliet,SECOND CAPULET,Ally
The Tragedy of Romeo and Juliet,MONTAGUE,Threshold Guardian
The Tragedy of Romeo and Juliet,APOTHECARY,Shadow
The Tragedy of Romeo and Juliet,MERCUTIO,Trickster
The Tragedy of Romeo and Juliet,LADY MONTAGUE,Ally
The Tragedy of Romeo and Juliet,JULIET,Hero
The Tragedy of Romeo and Juliet,GREGORY,Trickster
The Tragedy of Romeo and Juliet,FRIAR LAURENCE,Mentor
The Tragedy of Romeo and Juliet,FRIAR JOHN,Ally
The Tragedy of Romeo and Juliet,FIRST WATCHMAN,Ally
The Tragedy of Romeo and Juliet,FIRST SERVANT,Herald
The Tragedy of Romeo and Juliet,FIRST MUSICIAN,Trickster
The Tragedy of Romeo and Juliet,FIRST CITIZEN,Ally
The Tragedy of Romeo and Juliet,CAPULET,Threshold Guardian
The Tragedy of Romeo and Juliet,BENVOLIO,Ally
The Tragedy of Romeo and Juliet,BALTHASAR,Ally
The Tragedy of Romeo and Juliet,TYBALT,Shadow
The Tragedy of Antony and Cleopatra,AGRIPPA,Ally
The Tragedy of Antony and Cleopatra,SECOND GUARD,Ally
The Tragedy of Antony and Cleopatra,MECAENAS,Ally
The Tragedy of Antony and Cleopatra,MENAS,Shapeshifter
The Tragedy of Antony and Cleopatra,MENECRATES,Ally
The Tragedy of Antony and Cleopatra,MESSENGER,Herald
The Tragedy of Antony and Cleopatra,OCTAVIA,Ally
The Tragedy of Antony and Cleopatra,OCTAVIUS CAESAR,Shadow
The Tragedy of Antony and Cleopatra,PHILO,Herald
The Tragedy of Antony and Cleopatra,POMPEY,Threshold Guardian
The Tragedy of Antony and Cleopatra,PROCULEIUS,Shapeshifter
The Tragedy of Antony and Cleopatra,SCARUS,Ally
The Tragedy of Antony and Cleopatra,SECOND ATTENDANT,Herald
The Tragedy of Antony and Cleopatra,SECOND MESSENGER,Herald
The Tragedy of Antony and Cleopatra,ALEXAS,Ally
The Tragedy of Antony and Cleopatra,SECOND SERVANT,Herald
The Tragedy of Antony and Cleopatra,SECOND SOLDIER,Ally
The Tragedy of Antony and Cleopatra,SELEUCUS,Shadow
The Tragedy of Antony and Cleopatra,SILIUS,Herald
The Tragedy of Antony and Cleopatra,SOLDIER,Ally
The Tragedy of Antony and Cleopatra,SOOTHSAYER,Herald
The Tragedy of Antony and Cleopatra,TAURUS,Ally
The Tragedy of Antony and Cleopatra,THIRD GUARD,Ally
The Tragedy of Antony and Cleopatra,THIRD SOLDIER,Ally
The Tragedy of Antony and Cleopatra,THYREUS,Herald
The Tragedy of Antony and Cleopatra,VARRIUS,Herald
The Tragedy of Antony and Cleopatra,MARK ANTONY,Hero
The Tragedy of Antony and Cleopatra,MARDIAN,Ally
The Tragedy of Antony and Cleopatra,LEPIDUS,Ally
The Tragedy of Antony and Cleopatra,IRAS,Ally
The Tragedy of Antony and Cleopatra,ALL,Herald
The Tragedy of Antony and Cleopatra,ATTENDANT,Herald
The Tragedy of Antony and Cleopatra,ATTENDANTS,Herald
The Tragedy of Antony and Cleopatra,CANIDIUS,Ally
The Tragedy of Antony and Cleopatra,CAPTAIN,Herald
The Tragedy of Antony and Cleopatra,CHARMIAN,Ally
The Tragedy of Antony and Cleopatra,CLEOPATRA,Shapeshifter
The Tragedy of Antony and Cleopatra,CLOWN,Trickster
The Tragedy of Antony and Cleopatra,DEMETRIUS,Ally
The Tragedy of Antony and Cleopatra,DERCETAS,Herald
The Tragedy of Antony and Cleopatra,DIOMEDES,Herald
The Tragedy of Antony and Cleopatra,DOLABELLA,Ally
The Tragedy of Antony and Cleopatra,DOMITIUS ENOBARBUS,Ally
The Tragedy of Antony and Cleopatra,EGYPTIAN,Herald
The Tragedy of Antony and Cleopatra,EROS,Ally
The Tragedy of Antony and Cleopatra,EUPHRONIUS,Herald
The Tragedy of Antony and Cleopatra,FIRST ATTENDANT,Herald
The Tragedy of Antony and Cleopatra,FIRST GUARD,Ally
The Tragedy of Antony and Cleopatra,FIRST SERVANT,Herald
The Tragedy of Antony and Cleopatra,FIRST SOLDIER,Ally
The Tragedy of Antony and Cleopatra,FOURTH SOLDIER,Ally
The Tragedy of Antony and Cleopatra,GALLUS,Ally
The Tragedy of Antony and Cleopatra,GUARD,Ally
The Tragedy of Antony and Cleopatra,VENTIDIUS,Ally
The Tragedy of Julius Caesar,ALL,Herald
The Tragedy of Julius Caesar,SECOND CITIZEN,Herald
The Tragedy of Julius Caesar,MARULLUS,Threshold Guardian
The Tragedy of Julius Caesar,MESSALA,Ally
The Tragedy of Julius Caesar,MESSENGER,Herald
The Tragedy of Julius Caesar,METELLUS CIMBER,Ally
The Tragedy of Julius Caesar,OCTAVIUS,Hero
The Tragedy of Julius Caesar,PINDARUS,Ally
The Tragedy of Julius Caesar,POET,Trickster
The Tragedy of Julius Caesar,POPILIUS,Ally
The Tragedy of Julius Caesar,PORTIA,Ally
The Tragedy of Julius Caesar,PUBLIUS,Ally
The Tragedy of Julius Caesar,SECOND COMMONER,Trickster
The Tragedy of Julius Caesar,ANTONY,Shapeshifter
The Tragedy of Julius Caesar,SECOND SOLDIER,Ally
The Tragedy of Julius Caesar,SERVANT,Herald
The Tragedy of Julius Caesar,SEVERAL CITIZENS,Herald
The Tragedy of Julius Caesar,SOOTHSAYER,Herald
The Tragedy of Julius Caesar,STRATO,Ally
The Tragedy of Julius Caesar,THIRD CITIZEN,Herald
The Tragedy of Julius Caesar,THIRD SOLDIER,Ally
The Tragedy of Julius Caesar,TITINIUS,Ally
The Tragedy of Julius Caesar,TREBONIUS,Ally
The Tragedy of Julius Caesar,VARRO,Ally
The Tragedy of Julius Caesar,LUCIUS,Ally
The Tragedy of Julius Caesar,LUCILIUS,Ally
The Tragedy of Julius Caesar,LIGARIUS,Ally
The Tragedy of Julius Caesar,LEPIDUS,Ally
The Tragedy of Julius Caesar,ARTEMIDORUS,Herald
The Tragedy of Julius Caesar,BRUTUS,Hero
The Tragedy of Julius Caesar,CAESAR,Threshold Guardian
The Tragedy of Julius Caesar,CALPURNIA,Herald
The Tragedy of Julius Caesar,CASCA,Ally
The Tragedy of Julius Caesar,CASSIUS,Shadow
The Tragedy of Julius Caesar,CATO,Hero
The Tragedy of Julius Caesar,CICERO,Mentor
The Tragedy of Julius Caesar,CINNA,Ally
The Tragedy of Julius Caesar,CINNA THE POET,Ally
The Tragedy of Julius Caesar,CITIZENS,Herald
The Tragedy of Julius Caesar,CLAUDIUS,Ally
The Tragedy of Julius Caesar,CLITUS,Ally
The Tragedy of Julius Caesar,DARDANIUS,Ally
The Tragedy of Julius Caesar,DECIUS BRUTUS,Shapeshifter
The Tragedy of Julius Caesar,FIRST CITIZEN,Herald
The Tragedy of Julius Caesar,FIRST COMMONER,Herald
The Tragedy of Julius Caesar,FIRST SOLDIER,Ally
The Tragedy of Julius Caesar,FLAVIUS,Threshold Guardian
The Tragedy of Julius Caesar,FOURTH CITIZEN,Herald
The Tragedy of Julius Caesar,GHOST,Herald
The Tragedy of Julius Caesar,VOLUMNIUS,Ally
The Merchant of Venice,ALL,Herald
The Merchant of Venice,LORENZO,Hero
The Merchant of Venice,STEPHANO,Herald
The Merchant of Venice,SHYLOCK,Shadow
The Merchant of Venice,SERVANT,Herald
The Merchant of Venice,SALERIO,Ally
The Merchant of Venice,SALARINO,Ally
The Merchant of Venice,SALANIO,Ally
The Merchant of Venice,PORTIA,Shapeshifter
The Merchant of Venice,NERISSA,Ally
The Merchant of Venice,MOROCCO,Threshold Guardian
The Merchant of Venice,LEONARDO,Herald
The Merchant of Venice,ANTONIO,Mentor
The Merchant of Venice,LAUNCELOT,Trickster
The Merchant of Venice,JESSICA,Hero
The Merchant of Venice,GRATIANO,Ally
The Merchant of Venice,GOBBO,Trickster
The Merchant of Venice,DUKE,Threshold Guardian
The Merchant of Venice,CLERK,Herald
The Merchant of Venice,BASSANIO,Hero
The Merchant of Venice,BALTHASAR,Herald
The Merchant of Venice,ARRAGON,Trickster
The Merchant of Venice,TUBAL,Ally
"The Tragedy of Othello, the Moor of Venice",ALL,Herald
"The Tragedy of Othello, the Moor of Venice",BIANCA,Ally
"The Tragedy of Othello, the Moor of Venice",SENATOR,Threshold Guardian
"The Tragedy of Othello, the Moor of Venice",SECOND SENATOR,Threshold Guardian
"The Tragedy of Othello, the Moor of Venice",SECOND GENTLEMEN,Herald
"The Tragedy of Othello, the Moor of Venice",SECOND GENTLEMAN,Herald
"The Tragedy of Othello, the Moor of Venice",SAILOR,Herald
"The Tragedy of Othello, the Moor of Venice",RODERIGO,Trickster
"The Tragedy of Othello, the Moor of Venice",OTHELLO,Hero
"The Tragedy of Othello, the Moor of Venice",MONTANO,Ally
"The Tragedy of Othello, the Moor of Venice",MESSENGER,Herald
"The Tragedy of Othello, the Moor of Venice",LODOVICO,Threshold Guardian
"The Tragedy of Othello, the Moor of Venice",IAGO,Shadow
"The Tragedy of Othello, the Moor of Venice",HERALD,Herald
"The Tragedy of Othello, the Moor of Venice",GRATIANO,Ally
"The Tragedy of Othello, the Moor of Venice",GENTLEMAN,Herald
"The Tragedy of Othello, the Moor of Venice",FOURTH GENTLEMAN,Herald
"The Tragedy of Othello, the Moor of Venice",FIRST SENATOR,Threshold Guardian
"The Tragedy of Othello, the Moor of Venice",FIRST OFFICER,Ally
"The Tragedy of Othello, the Moor of Venice",FIRST MUSICIAN,Trickster
"The Tragedy of Othello, the Moor of Venice",FIRST GENTLEMAN,Herald
"The Tragedy of Othello, the Moor of Venice",EMILIA,Ally
"The Tragedy of Othello, the Moor of Venice",DUKE OF VENICE,Threshold Guardian
"The Tragedy of Othello, the Moor of Venice",DESDEMONA,Ally
"The Tragedy of Othello, the Moor of Venice",CLOWN,Trickster
"The Tragedy of Othello, the Moor of Venice",CASSIO,Ally
"The Tragedy of Othello, the Moor of Venice",BRABANTIO,Threshold Guardian
"The Tragedy of Othello, the Moor of Venice",THIRD GENTLEMAN,Herald
